,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
13350,2020,14995,Manual,8,Petrol,145,56.5,1
16893,2018,15649,Manual,13805,Diesel,145,54.3,1.5
6248,2016,11795,Manual,22220,Diesel,0,74.3,1.5
16490,2015,8299,Manual,60912,Diesel,0,74.3,1.5
13636,2014,5999,Manual,59526,Petrol,0,65.7,1
16286,2015,7299,Manual,66804,Diesel,0,74.3,1.5
104,2017,14998,Manual,15978,Diesel,30,64.2,1.5
6471,2017,10490,Manual,14250,Petrol,145,65.7,1
6506,2017,11200,Manual,23435,Petrol,150,65.7,1
1721,2017,17000,Manual,26041,Diesel,145,67.3,2
2857,2017,12360,Manual,15311,Diesel,145,74.3,1.5
7678,2019,18500,Manual,5286,Petrol,145,39.2,1.5
12523,2019,15450,Manual,5053,Petrol,150,51.4,1
8677,2018,9700,Manual,8769,Petrol,145,64.2,1.1
7931,2017,16998,Manual,26635,Diesel,125,56.5,2
6197,2015,8220,Manual,18240,Diesel,0,85.6,1.6
10222,2019,16491,Manual,6500,Petrol,145,51.4,1
15411,2017,11700,Manual,37867,Petrol,145,47.9,1.6
13095,2019,23750,Manual,1400,Petrol,145,50.4,1
5411,2014,5995,Manual,65000,Petrol,20,58.9,1
11925,2019,17750,Manual,6653,Petrol,150,49.6,1
13647,2019,15900,Manual,13000,Diesel,145,80.7,1.5
996,2017,10500,Manual,37920,Diesel,145,74.3,1.5
9634,2013,6650,Manual,28620,Petrol,0,65.7,1
2515,2017,15798,Manual,38199,Diesel,145,67.3,2
7304,2018,17298,Automatic,8354,Diesel,150,56.6,1.5
11670,2017,10000,Manual,6653,Petrol,0,65.7,1
2630,2015,9578,Manual,44000,Petrol,145,47.9,1.6
15702,2013,7250,Manual,33000,Diesel,0,76.4,1.5
8574,2014,7080,Manual,35879,Petrol,30,56.5,1
15765,2017,13189,Manual,23139,Diesel,145,64.2,1.5
4918,2018,9990,Manual,21637,Petrol,145,64.2,1.1
4888,2018,18000,Manual,5909,Petrol,145,41.5,2
10916,2019,18999,Manual,4892,Petrol,145,47.9,1
4700,2017,10450,Manual,29254,Petrol,20,60.1,1
8154,2019,17900,Manual,12812,Diesel,145,47.9,2
4343,2017,9498,Manual,15572,Petrol,125,52.3,1
4011,2013,6250,Manual,72937,Diesel,30,61.4,1.6
11928,2016,8551,Manual,36026,Petrol,20,60.1,1
12821,2019,12600,Manual,90,Petrol,145,58.9,1
2713,2017,8799,Manual,52333,Petrol,165,44.8,1.5
15299,2012,3989,Manual,73994,Petrol,20,68.9,1.4
5106,2018,12050,Manual,19460,Petrol,145,51.4,1.5
8659,2017,16500,Semi-Auto,27653,Diesel,145,54.3,2
1164,2016,7180,Manual,27520,Petrol,125,54.3,1.2
51,2016,6000,Manual,47613,Petrol,0,65.7,1
10112,2017,12995,Manual,30507,Diesel,150,64.2,2
9658,2015,7360,Manual,76000,Diesel,20,67.3,1.6
7418,2014,4200,Manual,40700,Petrol,30,54.3,1.2
4740,2016,9897,Manual,35199,Petrol,20,60.1,1
14971,2017,7699,Manual,16001,Petrol,145,57.7,1.2
2082,2017,19995,Semi-Auto,23620,Diesel,160,48.7,2
4801,2014,7298,Manual,62125,Diesel,20,67.3,1.6
8183,2017,7998,Manual,21050,Petrol,145,54.3,1.2
11216,2019,18499,Manual,6956,Diesel,145,58.9,1.5
1040,2017,38015,Manual,197,Diesel,145,74.3,1.5
7844,2017,11498,Manual,12418,Petrol,20,61.4,1
3472,2013,5250,Manual,94825,Petrol,30,55.4,1
16284,2013,5995,Manual,43000,Petrol,30,54.3,1.2
11898,2017,18500,Manual,7640,Petrol,145,41.5,2
10141,2017,14299,Manual,21469,Diesel,30,64.2,1.5
14510,2015,7992,Manual,123000,Diesel,125,60.1,2
12546,2019,12850,Manual,5,Petrol,145,48.7,1.1
3908,2017,8750,Manual,5262,Petrol,125,54.3,1.2
7203,2019,17000,Manual,8288,Petrol,145,60.1,1
11032,2017,10499,Manual,8218,Petrol,0,65.7,1
14203,2016,11499,Automatic,19135,Diesel,125,56.5,2
14521,2014,6949,Manual,41076,Petrol,0,65.7,1
4047,2015,14465,Manual,31322,Petrol,205,41.5,2
1316,2016,8080,Manual,57894,Diesel,0,74.3,1.5
5593,2013,6820,Manual,25204,Petrol,0,65.7,1
