"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"3412",2018,8220,"Manual",13709,"Petrol",145,54.3,1.2,25.3350257438052
"2645",2017,10490,"Semi-Auto",47018,"Petrol",145,51.4,1,26.851148872324
"17890",2018,17495,"Manual",30732,"Diesel",145,32.5,2,30.2819673472384
"7924",2018,11450,"Manual",12968,"Petrol",145,56.5,1,27.4138860972307
"10353",2019,16230,"Automatic",16424,"Diesel",145,67.3,1.5,29.7563136937397
"5078",2015,4998,"Manual",15296,"Petrol",30,57.7,1.2,22.4618161099426
"3842",2018,9690,"Manual",21175,"Petrol",145,65.7,1,26.3497989321572
"11140",2018,9799,"Manual",30701,"Petrol",145,65.7,1,26.4200126727502
"7210",2017,9998,"Manual",33278,"Petrol",145,52.3,1,26.5466052083554
"6969",2017,8792,"Manual",19502,"Petrol",150,65.7,1,25.7459233552487
"12833",2014,9800,"Manual",34670,"Petrol",150,47.9,1.6,26.4206539367602
"6440",2017,11000,"Manual",19239,"Diesel",0,74.3,1.5,27.1550020323046
"10547",2017,10490,"Automatic",14254,"Petrol",0,57.7,1,26.851148872324
"8277",2019,18999,"Manual",8000,"Petrol",145,49.6,1,30.868742632433
"7127",2018,12420,"Manual",18602,"Petrol",145,54.3,1,27.9453650051396
"2093",2019,21000,"Manual",16461,"Diesel",145,56.5,2,31.5943353208788
"54",2016,6395,"Manual",31562,"Petrol",125,54.3,1.2,23.8494882713909
"1487",2015,7960,"Manual",20188,"Diesel",0,74.3,1.5,25.1406502776184
"389",2017,8500,"Manual",15060,"Petrol",125,54.3,1.2,25.5389280996054
"14934",2013,7500,"Manual",29845,"Petrol",0,65.7,1,24.7839474541773
"11998",2019,16800,"Semi-Auto",7744,"Petrol",145,48.7,1,29.9970840622773
"5869",2015,10498,"Manual",52952,"Diesel",125,60.1,2,26.8560055262108
"9573",2018,15000,"Manual",12234,"Diesel",145,74.3,1.5,29.2127714459316
"2194",2016,7995,"Automatic",25109,"Petrol",160,44.1,1.6,25.1671093793217
"15967",2016,7299,"Manual",88993,"Diesel",0,74.3,1.5,24.6225660883354
"5110",2019,18550,"Automatic",5016,"Diesel",145,64.2,2,30.6975809519873
"5662",2016,15890,"Automatic",10644,"Diesel",145,52.3,2,29.6094568589066
"7691",2019,18500,"Manual",390,"Diesel",145,61.4,1.5,30.6783161911937
"7160",2016,8795,"Manual",49286,"Petrol",20,60.1,1,25.7480212893552
"891",2018,8150,"Manual",9763,"Petrol",145,57.7,1.2,25.2831833557087
"4677",2018,18950,"Manual",7777,"Petrol",145,41.5,2,30.8502218222238
"5407",2016,14620,"Manual",22231,"Diesel",125,56.5,2,29.0376429950706
"16714",2007,5995,"Manual",67000,"Petrol",330,26.3,2.5,23.4792036927505
"14076",2015,7990,"Manual",67000,"Diesel",0,78.5,1.5,25.1633351881139
"3673",2017,11516,"Manual",36311,"Diesel",30,64.2,1.5,27.4511682090344
"15731",2018,16489,"Manual",40658,"Diesel",145,60.1,2,29.8665412742106
"397",2016,13499,"Manual",38687,"Diesel",145,54.3,2,28.4988828313106
"3597",2019,17470,"Manual",1120,"Petrol",145,60.1,1,30.2718781355946
