"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"2608",2019,23780,"Manual",12500,"Diesel",145,55.4,2,32.5156412675841
"17469",2009,2790,"Manual",114000,"Petrol",300,35.8,2,19.4394171885613
"5956",2019,17295,"Manual",4870,"Petrol",150,58.9,1,30.200928380714
"819",2019,25498,"Manual",4813,"Petrol",145,34.5,2.3,33.042690820197
"7834",2019,14594,"Manual",18638,"Diesel",145,80.7,1.5,29.0255279619124
"3371",2018,10291,"Manual",9250,"Petrol",150,65.7,1,26.7293751791892
"15220",2019,15489,"Manual",3916,"Petrol",145,48.7,1,29.4329855476168
"16670",2005,1295,"Manual",119000,"Petrol",165,45.6,1.2,15.9615772533971
"14854",2015,8299,"Manual",45500,"Diesel",0,78.5,1.5,25.3931110748905
"8707",2018,11500,"Manual",13820,"Petrol",145,65.7,1,27.4421458490631
"8760",2018,15299,"Automatic",12315,"Petrol",145,50.4,1,29.3480916672863
"15758",2013,6489,"Manual",47157,"Petrol",30,54.3,1.2,23.9338055974743
"10496",2018,9995,"Manual",6500,"Petrol",145,64.2,1.1,26.5447118061406
"8455",2015,7000,"Manual",37650,"Petrol",0,65.7,1,24.3757938870598
"17631",2016,13750,"Manual",35487,"Diesel",125,56.5,2,28.6225419386305
"14967",2017,10500,"Manual",11518,"Petrol",145,52.3,1,26.8572192270383
"12043",2017,20200,"Automatic",8973,"Petrol",145,38.2,1.5,31.3111729657738
"5861",2017,10000,"Manual",29888,"Diesel",145,74.3,1.5,26.5478672240097
"5293",2019,12090,"Manual",4762,"Petrol",145,57.7,1,27.7684021228052
"10870",2018,13999,"Manual",8610,"Petrol",145,54.3,1,28.7434440449366
"7807",2018,26000,"Semi-Auto",4150,"Diesel",145,54.3,2,33.1913204267012
"6754",2017,11498,"Manual",10415,"Petrol",20,62.8,1,27.4410173480916
"1450",2017,12591,"Manual",32590,"Diesel",30,64.2,1.5,28.0355886014865
"10743",2019,15995,"Manual",12200,"Petrol",145,58.9,1,29.655075809312
"5702",2018,15498,"Semi-Auto",9347,"Petrol",150,48.7,1,29.4369861269682
"9716",2017,11000,"Manual",23160,"Petrol",145,62.8,1,27.1550020323046
"15226",2016,9800,"Manual",44162,"Diesel",20,70.6,2,26.4206539367602
"14468",2016,8695,"Manual",69778,"Diesel",0,74.3,1.5,25.6777795016201
"6939",2014,6330,"Manual",50410,"Diesel",20,70.6,1.6,23.7906020293107
"16214",2018,20750,"Manual",17003,"Diesel",145,56.5,2,31.5067880608
"8205",2019,15298,"Automatic",10493,"Petrol",145,48.7,1,29.3476426315356
"13452",2019,25000,"Manual",9544,"Diesel",145,54.3,2,32.89291416276
"9033",2016,9750,"Manual",39236,"Petrol",20,60.1,1,26.3885264115343
"3656",2017,10000,"Manual",24205,"Petrol",145,65.7,1,26.5478672240097
"16352",2013,5999,"Manual",62021,"Diesel",20,67.3,1.6,23.4830030730268
"6995",2016,10300,"Manual",14801,"Petrol",125,53.3,1,26.7349230274606
"13470",2012,5295,"Manual",32000,"Petrol",125,51.4,1.2,22.7807008069823
"6226",2016,18091,"Semi-Auto",44224,"Diesel",160,48.7,2,30.51914630533
"6252",2014,9495,"Manual",21259,"Petrol",0,65.7,1,26.2225951765746
"13030",2019,15595,"Manual",2525,"Petrol",145,58.9,1,29.479985947575
"15535",2019,14000,"Manual",9427,"Petrol",145,55.4,1,28.7439261147976
"640",2015,9230,"Manual",27412,"Diesel",0,74.3,1.5,26.0463353709246
"11266",2017,11399,"Manual",17980,"Petrol",145,60.1,1,27.384959261204
"4884",2017,14000,"Manual",16155,"Diesel",145,64.2,1.5,28.7439261147976
"13252",2017,11950,"Manual",14977,"Petrol",20,61.4,1,27.6921577148317
"8264",2017,12699,"Manual",25082,"Petrol",145,47.9,1.6,28.0920680684599
"5405",2017,10291,"Manual",27107,"Petrol",145,65.7,1,26.7293751791892
"1058",2015,6999,"Manual",27425,"Petrol",125,54.3,1.2,24.3749545306984
"8575",2015,8725,"Manual",73506,"Diesel",125,60.1,2,25.698919601742
"9727",2019,20500,"Automatic",953,"Diesel",145,64.2,2,31.4183928631058
"8787",2019,16470,"Manual",9083,"Petrol",145,60.1,1,29.8585023411752
"4558",2015,7390,"Manual",17499,"Diesel",0,78.5,1.5,24.6960641024119
"17523",2017,10500,"Manual",9960,"Diesel",150,64.2,1.5,26.8572192270383
"14161",2018,14525,"Automatic",9534,"Petrol",145,48.7,1,28.9932926031992
"3272",2018,10731,"Manual",4026,"Petrol",145,65.7,1,26.9961735158328
"3162",2019,14642,"Manual",4442,"Petrol",145,58.9,1,29.0478807217654
"7042",2016,10350,"Manual",67943,"Diesel",20,68.9,2,26.7656739795861
"16408",2015,8275,"Manual",35000,"Petrol",20,62.8,1,25.3755118480442
"1985",2019,12995,"Manual",7,"Petrol",145,55.4,1.1,28.2449176188192
"13918",2015,9175,"Automatic",17180,"Petrol",160,44.8,1.6,26.0092468973793
"14209",2019,18917,"Manual",7968,"Petrol",145,40.3,1.5,30.8377270225997
"17597",2017,15200,"Manual",23698,"Petrol",150,45.6,1.5,29.3035227781683
"12729",2018,12499,"Automatic",37127,"Petrol",145,54.3,1,27.9871699492675
"1270",2019,19050,"Manual",4637,"Petrol",145,60.1,1,30.8879788536201
"12515",2017,13500,"Manual",25799,"Diesel",150,64.2,1.5,28.4993791331143
"6539",2016,8491,"Manual",19389,"Petrol",125,54.3,1.2,25.532458291744
"6613",2015,9098,"Manual",20430,"Petrol",20,62.8,1,25.957023070973
"6434",2019,18000,"Manual",15269,"Diesel",145,38.2,2,30.4833410381278
"1958",2017,9498,"Manual",50875,"Diesel",0,74.3,1.5,26.2245679190669
"14686",2016,10210,"Manual",21018,"Diesel",0,74.3,1.5,26.6792690785895
"515",2018,9490,"Manual",3012,"Petrol",145,55.4,1.1,26.2193061640528
"5875",2019,19110,"Manual",10018,"Petrol",145,50.4,1.5,30.9105570274193
"14206",2016,9999,"Manual",36511,"Diesel",30,64.2,1.5,26.5472362414254
"9621",2017,14800,"Manual",22992,"Diesel",145,60.1,2,29.1210468777474
"17208",2018,30500,"Manual",5000,"Petrol",145,20.9,5,34.4302900900874
"2095",2018,13000,"Manual",13202,"Petrol",145,47.1,1,28.2474755104875
"1229",2017,8200,"Manual",7616,"Petrol",145,57.7,1.2,25.3202497866002
"13389",2018,12000,"Semi-Auto",8970,"Petrol",145,54.3,1,27.7194694970619
"11810",2015,10150,"Manual",12317,"Petrol",0,65.7,1,26.6419480217677
"6132",2019,17499,"Manual",6351,"Diesel",145,45.6,1.5,30.2835805506033
"13787",2017,10750,"Manual",14100,"Petrol",145,60.1,1,27.0074958008424
"10430",2017,10060,"Manual",16282,"Petrol",0,65.7,1,26.5856341325416
"9095",2019,19499,"Manual",9000,"Diesel",145,74.3,1.5,31.0555788425229
"12387",2019,17000,"Automatic",3790,"Diesel",145,64.2,2,30.0800164713895
"12155",2017,11170,"Semi-Auto",16762,"Petrol",165,44.8,1.5,27.2537814569393
"14377",2015,12942,"Manual",30768,"Petrol",200,41.5,2,28.2177554460225
"346",2018,11489,"Manual",19665,"Petrol",145,60.1,1,27.4359371495523
"3189",2019,12490,"Manual",960,"Petrol",145,48.7,1.1,27.982418047898
"10058",2019,14495,"Manual",11363,"Petrol",145,56.5,1,28.979239008122
"14787",2019,14299,"Manual",4216,"Petrol",150,58.9,1,28.8868451085632
"2609",2016,7220,"Manual",50211,"Diesel",0,88.3,1.5,24.5581632794074
"12049",2015,8200,"Manual",24352,"Petrol",125,52.3,1,25.3202497866002
"16734",2014,7295,"Manual",53000,"Petrol",20,60.1,1,24.6193186230134
"11546",2017,16699,"Manual",14448,"Diesel",145,60.1,2,29.9549026764893
"13639",2019,13000,"Manual",15820,"Petrol",145,60.1,1,28.2474755104875
"12925",2018,11450,"Manual",10610,"Petrol",145,56.5,1,27.4138860972307
"15153",2016,8900,"Manual",35500,"Petrol",20,62.8,1,25.8210908527125
"15187",2017,11800,"Manual",16612,"Diesel",0,74.3,1.5,27.6096701425057
"3727",2017,10999,"Manual",7873,"Petrol",145,65.7,1,27.1544173746434
"12073",2017,15700,"Manual",19877,"Petrol",145,41.5,2,29.5262916529541
"1368",2017,16900,"Manual",34314,"Diesel",145,56.5,2,30.0386484123148
"10085",2016,10495,"Semi-Auto",24335,"Diesel",30,58.9,1.5,26.8541846280856
"6102",2019,11285,"Manual",19788,"Diesel",150,55.4,1.5,27.3199229696229
"17203",2013,7785,"Automatic",7000,"Petrol",145,47.9,1.6,25.0069412316547
"8232",2015,6990,"Manual",26680,"Petrol",125,54.3,1.2,24.3673960029291
"3088",2018,17890,"Semi-Auto",39821,"Diesel",145,54.3,2,30.439866107854
"9214",2018,12500,"Manual",12900,"Petrol",145,61.4,1,27.9876977693224
"3668",2017,11491,"Manual",5178,"Petrol",20,61.4,1,27.437066357623
"12919",2019,14999,"Manual",4197,"Petrol",145,60.1,1,29.2123152634806
"12340",2017,10000,"Manual",35651,"Petrol",150,65.7,1,26.5478672240097
"13809",2017,7995,"Manual",7710,"Petrol",150,57.7,1.2,25.1671093793217
"10220",2017,17595,"Semi-Auto",18066,"Diesel",145,54.3,2,30.3222092167484
"4331",2014,6701,"Manual",50000,"Diesel",0,76.4,1.6,24.1204396774705
"10741",2018,18995,"Automatic",7000,"Diesel",145,74.3,1.5,30.8672321628841
"17167",2016,8750,"Automatic",36541,"Diesel",30,58.9,1.5,25.7164919770787
"7894",2018,15500,"Semi-Auto",1178,"Petrol",145,48.7,1,29.4378748921932
"9952",2019,10975,"Manual",4500,"Petrol",145,47.9,1.2,27.1403728169512
"4552",2018,14450,"Manual",14671,"Diesel",145,64.2,1.5,28.9581149225015
